"","V1","match_id","year","slam","match_num","player1","player2","status","winner","event_name","round","court_name","court_id","player1id","player2id","nation1","nation2","player1_rank","player2_rank","pServeP1","pReceiveP1","pServeP2","pReceiveP2"
"74",73,"2011-ausopen-1401",2011,"ausopen",1401,"Rafael Nadal","Marin Cilic","Complete",1,"Men's Singles","Round 4","Rod Laver Arena","A","atpn409","atpc977","ESP","CRO",1,15,0.705882352941177,0.43,0.57,0.294117647058823
"75",74,"2011-ausopen-1402",2011,"ausopen",1402,"Milos Raonic","David Ferrer","Complete",2,"Men's Singles","Round 4","Hisense Arena","B","atpr975","atpf401","CAN","ESP",153,7,0.598425196850394,0.292035398230089,0.707964601769911,0.401574803149606
"76",75,"2011-ausopen-1403",2011,"ausopen",1403,"Robin Soderling","Alexandr Dolgopolov","Complete",2,"Men's Singles","Round 4","Rod Laver Arena","A","atpsa49","atpd801","SWE","UKR",4,49,0.514492753623188,0.380952380952381,0.619047619047619,0.485507246376812
"77",76,"2011-ausopen-1404",2011,"ausopen",1404,"Jurgen Melzer","Andy Murray","Complete",2,"Men's Singles","Round 4","Rod Laver Arena","A","atpm762","atpmc10","AUT","GBR",11,5,0.444444444444444,0.285714285714286,0.714285714285714,0.555555555555556
"78",77,"2011-ausopen-1405",2011,"ausopen",1405,"Tomas Berdych","Fernando Verdasco","Complete",1,"Men's Singles","Round 4","Margaret Court Arena","C","atpba47","atpv306","CZE","ESP",6,9,0.833333333333333,0.417721518987342,0.582278481012658,0.166666666666667
"79",78,"2011-ausopen-1406",2011,"ausopen",1406,"Nicolas Almagro","Novak Djokovic","Complete",2,"Men's Singles","Round 4","Hisense Arena","B","atpa479","atpd643","ESP","SRB",14,3,0.538461538461538,0.24,0.76,0.461538461538462
"80",79,"2011-ausopen-1407",2011,"ausopen",1407,"Andy Roddick","Stanislas Wawrinka","Complete",2,"Men's Singles","Round 4","Rod Laver Arena","A","atpr485","atpw367","USA","SUI",8,19,0.607142857142857,0.215189873417722,0.784810126582278,0.392857142857143
"81",80,"2011-ausopen-1408",2011,"ausopen",1408,"Tommy Robredo","Roger Federer","Complete",2,"Men's Singles","Round 4","Rod Laver Arena","A","atpr419","atpf324","ESP","SUI",51,2,0.63302752293578,0.266666666666667,0.733333333333333,0.36697247706422
"82",81,"2011-ausopen-1501",2011,"ausopen",1501,"Rafael Nadal","David Ferrer","Complete",2,"Men's Singles","Quarters","Rod Laver Arena","A","atpn409","atpf401","ESP","ESP",1,7,0.490384615384615,0.328767123287671,0.671232876712329,0.509615384615385
"83",82,"2011-ausopen-1502",2011,"ausopen",1502,"Alexandr Dolgopolov","Andy Murray","Complete",2,"Men's Singles","Quarters","Rod Laver Arena","A","atpd801","atpmc10","UKR","GBR",49,5,0.556962025316456,0.305084745762712,0.694915254237288,0.443037974683544
